gene	cluster	avg.exp	pct.exp
Cers1	Neurons	0.0704022118243052	3.7007658643326
Cers2	Neurons	0.377317203463354	17.1362144420131
Cers3	Neurons	0.00315833350726353	0.178701677607586
Cers4	Neurons	1.90860943597589	53.9122902990518
Cers5	Neurons	0.522212660744517	23.5580780452225
Cers6	Neurons	0.426900270745593	18.7003099927061
Cers1	Tanycytes	0.048683756428565	1.12971141008524
Cers2	Tanycytes	0.969744477448358	20.6737188045599
Cers3	Tanycytes	0.00376958077825054	0.0616206223682859
Cers4	Tanycytes	1.3091104751343	24.8536510218753
Cers5	Tanycytes	0.569387974339355	13.371675053918
Cers6	Tanycytes	0.208067072326969	4.97073020437506
Cers1	Astrocytes	0.0744659659260107	1.96082322821363
Cers2	Astrocytes	0.643472735781962	16.7066902177149
Cers3	Astrocytes	0.0025900214731942	0.0654930835334511
Cers4	Astrocytes	0.315415648079827	8.24220533074007
Cers5	Astrocytes	0.407043209713163	10.57018675452
Cers6	Astrocytes	0.0434136548749797	1.37932403199238
Cers1	Oligodendrocytes	0.0131740320356217	0.438371878648831
Cers2	Oligodendrocytes	5.0282268592367	66.9500378966344
Cers3	Oligodendrocytes	0.00271763746724915	0.0778417354610074
Cers4	Oligodendrocytes	0.198653035004672	5.42433988159862
Cers5	Oligodendrocytes	0.497720943772612	14.8083659380953
Cers6	Oligodendrocytes	0.0282750865133058	0.925906958641457
Cers1	NG/OPC	0.0382930122328396	1.22829096400705
Cers2	NG/OPC	0.827093916943366	21.3944122829096
Cers3	NG/OPC	0.00290165865995663	0.0604077523282155
Cers4	NG/OPC	1.35123237068667	29.2373521268563
Cers5	NG/OPC	0.809364389330296	19.8338786810974
Cers6	NG/OPC	0.130921961083713	3.62949911905361
Cers1	Immune	0.0101299910598413	0.265659955257271
Cers2	Immune	0.910713396280121	22.9935682326622
Cers3	Immune	0.000152476585695501	0.0069910514541387
Cers4	Immune	0.196068304411691	4.80285234899329
Cers5	Immune	0.347048671550398	9.22818791946309
Cers6	Immune	0.205914341095216	5.24328859060403
Cers1	Mural	0.0108065820767797	0.291313559322034
Cers2	Mural	1.07723086989397	23.3315677966102
Cers3	Mural	0	0
Cers4	Mural	0.822399172142474	17.6906779661017
Cers5	Mural	0.662663557269745	14.8305084745763
Cers6	Mural	0.0543658958614657	1.53601694915254
Cers1	Fibroblast	0.00991295565037165	0.21865889212828
Cers2	Fibroblast	1.15465805407615	25.2186588921283
Cers3	Fibroblast	0.000978076991090893	0.0728862973760933
Cers4	Fibroblast	0.737508359308642	16.8367346938776
Cers5	Fibroblast	0.71522486361755	17.7842565597668
Cers6	Fibroblast	0.139927276726228	3.64431486880466
Cers1	Endothelial	0.00440082366271334	0.107202027092876
Cers2	Endothelial	0.965500292727966	21.1577818926031
Cers3	Endothelial	0	0
Cers4	Endothelial	1.03521100078665	21.2260013643894
Cers5	Endothelial	0.650736286325424	15.1349770977488
Cers6	Endothelial	0.0246217280967207	0.750414189650132
Cers1	Ependymal	0.0159714209901164	0.361581920903955
Cers2	Ependymal	0.460595477180771	14.1242937853107
Cers3	Ependymal	0.0019865713274267	0.0677966101694915
Cers4	Ependymal	0.459879879272801	12.2937853107345
Cers5	Ependymal	0.294489621618961	9.44632768361582
Cers6	Ependymal	0.363355283407083	10.7118644067797
