gene	cluster	avg.exp	pct.exp
Cers1	POMC neurons	0.0925316090642155	5.11278195488722
Cers2	POMC neurons	0.434049654417874	20.6015037593985
Cers3	POMC neurons	0.00215475882522505	0.193340494092374
Cers4	POMC neurons	2.20597251402292	60.5585392051558
Cers5	POMC neurons	0.49081502984122	22.9001074113856
Cers6	POMC neurons	0.404159733192217	19.2051557465091
Cers1	AgRP neurons	0.0873456292503825	3.71853546910755
Cers2	AgRP neurons	0.399294046727576	16.1708619374523
Cers3	AgRP neurons	0.00171602207968583	0.11441647597254
Cers4	AgRP neurons	2.19238161249992	53.4515636918383
Cers5	AgRP neurons	0.469304359922398	19.3745232646834
Cers6	AgRP neurons	0.440855617043086	16.2852784134249
Cers1	Sf1 neurons	0.113490242340115	6.19810860009768
Cers2	Sf1 neurons	0.441409598624847	20.1438529503175
Cers3	Sf1 neurons	0.00551108049645782	0.306353505305688
Cers4	Sf1 neurons	1.87703824079735	56.7908360342761
Cers5	Sf1 neurons	0.615575442855391	27.8959286063136
Cers6	Sf1 neurons	0.499904500510163	22.8832748745727
